"stud_id","stud_no","firstname","lastname","gender","department","course","major","year","status","cabinet","password"
"4","1001","Jane","Santos","Female",,,,"1st C","Active","2","b8c37e33defde51cf91e1e03e51657da"
"5","1002","Drake","Cruz","Male",,,,"1st B","Active","2","fba9d88164f3e2d9109ee770223212a0"
"6","1003","Juan","Dela Cruz","Male",,,,"2nd C","Active","2","aa68c75c4a77c87f97fb686b2f068676"
"7","1004","Anne","Crame","Female",,,,"4th D","Inactive","4","fed33392d3a48aa149a87a38b875ba4a"
"8","1005","Christine","Pangilinan","Female",,,,"4th C","Active","2","2387337ba1e0b0249ba90f55b2ba2521"
"9","1006","Benedict","Corpuz","Male",,,,"3rd B","Active","3","9246444d94f081e3549803b928260f56"
"10","1007","Liam","Uy","Male",,,,"4th A","Active","2","d7322ed717dedf1eb4e6e52a37ea7bcd"
"11","1008","Joaquin","Lopez","Male",,,,"2nd B","Inactive","4","1587965fb4d4b5afe8428a4a024feb0d"
"12","1009","Nica","Menor","Female",,,,"3rd D","Active","1","31b3b31a1c2f8a370206f111127c0dbd"
"13","1010","Patrick ","Depaz","Male",,,,"1st C","Inactive","4","1e48c4420b7073bc11916c6c1de226bb"
"14","1011","Cecilia","Rosales","Female",,,,"2nd A","Active","1","7f975a56c761db6506eca0b37ce6ec87"
"15","1012","Hanna","Bueno","Female",,,,"1st B","Inactive","4","f33ba15effa5c10e873bf3842afb46a6"
"16","1013","Angela","Pangan","Female",,,,"2nd B","Graduate","4","6b180037abbebea991d8b1232f8a8ca9"
"17","1014","Alex","Monde","Male",,,,"3rd B","Active","1","766d856ef1a6b02f93d894415e6bfa0e"
"18","1015","Janwen ","Que","Male",,,,"2nd A","Active","3","298923c8190045e91288b430794814c4"
"19","1016","Oliver","De leon","Male",,,,"3rd A","Inactive","4","08fe2621d8e716b02ec0da35256a998d"
"20","1017","Erika","Gome","Female",,,,"1st B","Active","1","5d616dd38211ebb5d6ec52986674b6e4"
"21","1018","Pixie","Dust","Female",,,,"4th C","Active","3","ef50c335cca9f340bde656363ebd02fd"
"22","1019","Stormi","Gaming","Female",,,,"4th D","Graduate","4","03e0704b5690a2dee1861dc3ad3316c9"
"23","1020","Khenji","Mylovess","Male",,,,"3rd A","Active","1","65cc2c8205a05d7379fa3a6386f710e1"
"24","1021","Dave","Mali","Male",,,,"1st A","Inactive","1","0768281a05da9f27df178b5c39a51263"
"25","1100","Cardo","Dalisay","Male","CAS","BSINFOTECH",,"3B","Active","3","1e6e0a04d20f50967c64dac2d639a577"
"26","1101","Carla","Abellana","Female","CBA","BSBA","Marketing-Management","1A","Active","1","b8c37e33defde51cf91e1e03e51657da"
"27","1102","Juan ","Dela Cruz","Male","CEd","BSE","Mathematics","4C","Active","4","c667d53acd899a97a85de0c201ba99be"
